PARTICIPATION epoch=200146, participation=0.9999237549448464
LEDGER t=6404753 tip=6404672, quorum=0.5
PARTICIPATION epoch=200147, participation=0.997483913179933
LEDGER t=6404785 tip=6404704, quorum=0.5
PARTICIPATION epoch=200148, participation=0.9985797192418786
LEDGER t=6404817 tip=6404736, quorum=0.5
PARTICIPATION epoch=200149, participation=0.9992730251551027
LEDGER t=6404849 tip=6404768, quorum=0.5
PARTICIPATION epoch=200150, participation=0.9985301131759662
LEDGER t=6404881 tip=6404800, quorum=0.5
PARTICIPATION epoch=200151, participation=0.9781966538769779
LEDGER t=6404913 tip=6404832, quorum=0.5
PARTICIPATION epoch=200152, participation=0.9992907851717364
LEDGER t=6404945 tip=6404864, quorum=0.5
PARTICIPATION epoch=200153, participation=0.9997854655574704
LEDGER t=6404977 tip=6404896, quorum=0.5
PARTICIPATION epoch=200154, participation=0.9991401014148434
LEDGER t=6405009 tip=6404928, quorum=0.5
PARTICIPATION epoch=200155, participation=0.9996666832143085
LEDGER t=6405041 tip=6404960, quorum=0.5
PARTICIPATION epoch=200156, participation=0.9991099858874256
LEDGER t=6405073 tip=6404992, quorum=0.5
PARTICIPATION epoch=200157, participation=0.9822141219729702
LEDGER t=6405105 tip=6405024, quorum=0.5
PARTICIPATION epoch=200158, participation=0.9987554272767082
LEDGER t=6405137 tip=6405056, quorum=0.5
PARTICIPATION epoch=200159, participation=0.9995762832059228
LEDGER t=6405169 tip=6405088, quorum=0.5
PARTICIPATION epoch=200160, participation=0.9974807823225733
LEDGER t=6405201 tip=6405120, quorum=0.5
PARTICIPATION epoch=200161, participation=0.9998723567204186
LEDGER t=6405233 tip=6405152, quorum=0.5
PARTICIPATION epoch=200162, participation=0.998624308608708
LEDGER t=6405265 tip=6405184, quorum=0.5
PARTICIPATION epoch=200163, participation=1
LEDGER t=6405297 tip=6405216, quorum=0.5
PARTICIPATION epoch=200164, participation=0.999333446789199
LEDGER t=6405329 tip=6405248, quorum=0.5
PARTICIPATION epoch=200165, participation=0.9900000709089104
LEDGER t=6405361 tip=6405280, quorum=0.5
PARTICIPATION epoch=200166, participation=0.9951144453583686
LEDGER t=6405393 tip=6405312, quorum=0.5
PARTICIPATION epoch=200167, participation=0.9999521378430122
LEDGER t=6405425 tip=6405344, quorum=0.5
PARTICIPATION epoch=200168, participation=0.9991987634012139
LEDGER t=6405457 tip=6405376, quorum=0.5
PARTICIPATION epoch=200169, participation=0.9936806018406908
LEDGER t=6405489 tip=6405408, quorum=0.5
PARTICIPATION epoch=200170, participation=0.9996862503190674
LEDGER t=6405521 tip=6405440, quorum=0.5
PARTICIPATION epoch=200171, participation=0.999863510025809
