LEDGER t=6399392 tip=6399296, quorum=0.99
LEDGER t=6399414 tip=6399328, quorum=0.67
LEDGER t=6399418 tip=6399328, quorum=0.8
LEDGER t=6399421 tip=6399328, quorum=0.9
LEDGER t=6399423 tip=6399328, quorum=0.95
LEDGER t=6399423 tip=6399328, quorum=0.96
LEDGER t=6399424 tip=6399328, quorum=0.97
LEDGER t=6399424 tip=6399328, quorum=0.98
LEDGER t=6399424 tip=6399328, quorum=0.99
LEDGER t=6399446 tip=6399360, quorum=0.67
LEDGER t=6399450 tip=6399360, quorum=0.8
LEDGER t=6399453 tip=6399360, quorum=0.9
LEDGER t=6399455 tip=6399360, quorum=0.95
LEDGER t=6399455 tip=6399360, quorum=0.96
LEDGER t=6399456 tip=6399360, quorum=0.97
LEDGER t=6399456 tip=6399360, quorum=0.98
LEDGER t=6399456 tip=6399360, quorum=0.99
LEDGER t=6399478 tip=6399392, quorum=0.67
LEDGER t=6399482 tip=6399392, quorum=0.8
LEDGER t=6399485 tip=6399392, quorum=0.9
LEDGER t=6399487 tip=6399392, quorum=0.95
LEDGER t=6399487 tip=6399392, quorum=0.96
LEDGER t=6399488 tip=6399392, quorum=0.97
LEDGER t=6399488 tip=6399392, quorum=0.98
LEDGER t=6399488 tip=6399392, quorum=0.99
LEDGER t=6399510 tip=6399424, quorum=0.67
LEDGER t=6399514 tip=6399424, quorum=0.8
LEDGER t=6399517 tip=6399424, quorum=0.9
LEDGER t=6399519 tip=6399424, quorum=0.95
LEDGER t=6399519 tip=6399424, quorum=0.96
LEDGER t=6399520 tip=6399424, quorum=0.97
LEDGER t=6399520 tip=6399424, quorum=0.98
LEDGER t=6399520 tip=6399424, quorum=0.99
LEDGER t=6399542 tip=6399456, quorum=0.67
LEDGER t=6399546 tip=6399456, quorum=0.8
LEDGER t=6399549 tip=6399456, quorum=0.9
LEDGER t=6399551 tip=6399456, quorum=0.95
LEDGER t=6399551 tip=6399456, quorum=0.96
LEDGER t=6399552 tip=6399456, quorum=0.97
LEDGER t=6399552 tip=6399456, quorum=0.98
LEDGER t=6399552 tip=6399456, quorum=0.99
LEDGER t=6399574 tip=6399488, quorum=0.67
LEDGER t=6399578 tip=6399488, quorum=0.8
LEDGER t=6399581 tip=6399488, quorum=0.9
LEDGER t=6399583 tip=6399488, quorum=0.95
LEDGER t=6399583 tip=6399488, quorum=0.96
LEDGER t=6399584 tip=6399488, quorum=0.97
LEDGER t=6399584 tip=6399488, quorum=0.98
LEDGER t=6399584 tip=6399488, quorum=0.99
LEDGER t=6399606 tip=6399520, quorum=0.67
LEDGER t=6399610 tip=6399520, quorum=0.8
LEDGER t=6399613 tip=6399520, quorum=0.9
LEDGER t=6399615 tip=6399520, quorum=0.95
LEDGER t=6399615 tip=6399520, quorum=0.96
LEDGER t=6399616 tip=6399520, quorum=0.97
LEDGER t=6399616 tip=6399520, quorum=0.98
LEDGER t=6399616 tip=6399520, quorum=0.99
LEDGER t=6399638 tip=6399552, quorum=0.67
LEDGER t=6399642 tip=6399552, quorum=0.8
LEDGER t=6399645 tip=6399552, quorum=0.9
LEDGER t=6399647 tip=6399552, quorum=0.95
LEDGER t=6399647 tip=6399552, quorum=0.96
LEDGER t=6399648 tip=6399552, quorum=0.97
LEDGER t=6399648 tip=6399552, quorum=0.98
LEDGER t=6399648 tip=6399552, quorum=0.99
LEDGER t=6399670 tip=6399584, quorum=0.67
LEDGER t=6399674 tip=6399584, quorum=0.8
LEDGER t=6399677 tip=6399584, quorum=0.9
LEDGER t=6399679 tip=6399584, quorum=0.95
LEDGER t=6399679 tip=6399584, quorum=0.96
LEDGER t=6399680 tip=6399584, quorum=0.97
LEDGER t=6399680 tip=6399584, quorum=0.98
LEDGER t=6399680 tip=6399584, quorum=0.99
LEDGER t=6399702 tip=6399616, quorum=0.67
LEDGER t=6399706 tip=6399616, quorum=0.8
LEDGER t=6399709 tip=6399616, quorum=0.9
LEDGER t=6399711 tip=6399616, quorum=0.95
LEDGER t=6399711 tip=6399616, quorum=0.96
LEDGER t=6399712 tip=6399616, quorum=0.97
LEDGER t=6399712 tip=6399616, quorum=0.98
LEDGER t=6399712 tip=6399616, quorum=0.99
LEDGER t=6399734 tip=6399648, quorum=0.67
LEDGER t=6399738 tip=6399648, quorum=0.8
LEDGER t=6399741 tip=6399648, quorum=0.9
LEDGER t=6399743 tip=6399648, quorum=0.95
LEDGER t=6399743 tip=6399648, quorum=0.96
LEDGER t=6399744 tip=6399648, quorum=0.97
LEDGER t=6399744 tip=6399648, quorum=0.98
LEDGER t=6399744 tip=6399648, quorum=0.99
LEDGER t=6399766 tip=6399680, quorum=0.67
LEDGER t=6399770 tip=6399680, quorum=0.8
LEDGER t=6399773 tip=6399680, quorum=0.9
LEDGER t=6399775 tip=6399680, quorum=0.95
LEDGER t=6399775 tip=6399680, quorum=0.96
LEDGER t=6399776 tip=6399680, quorum=0.97
LEDGER t=6399776 tip=6399680, quorum=0.98
LEDGER t=6399776 tip=6399680, quorum=0.99
LEDGER t=6399798 tip=6399712, quorum=0.67
LEDGER t=6399802 tip=6399712, quorum=0.8
LEDGER t=6399805 tip=6399712, quorum=0.9
LEDGER t=6399807 tip=6399712, quorum=0.95
LEDGER t=6399807 tip=6399712, quorum=0.96
LEDGER t=6399808 tip=6399712, quorum=0.97
LEDGER t=6399808 tip=6399712, quorum=0.98
LEDGER t=6399808 tip=6399712, quorum=0.99
LEDGER t=6399830 tip=6399744, quorum=0.67
LEDGER t=6399835 tip=6399744, quorum=0.8
